city,state,country,source,wmonum,latitude,longitude,timezone,elevation,link
Fort Myers Page Field,FL,USA,TMY3,722106,26.58,-81.87,-5,5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Fort.Myers-Page.Field.722106_TMY3.zip
Jabalpur,Madhya Pradesh,IND,ISHRAE,426750,23.2,79.95,5.5,393,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Jabalpur.426750_ISHRAE.zip
Mason City,IA,USA,TMY--14940,725485,43.15,-93.33,-6,370,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IA_Mason.City.Muni.AP.725485_TMY.zip
Marietta Dobbins Afb,GA,USA,TMY3,722270,33.92,-84.52,-5,330,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_GA_Marietta-Dobbins.AFB.722270_TMY3.zip
Roma-Fiumicino,-,ITA,IGDG,162420,41.8,12.23,1,3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Roma-Fiumicino.162420_IGDG.zip
Minxian,Gansu,CHN,CSWD,560930,34.43,104.02,8,2315,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Gansu.Minxian.560930_CSWD.zip
Indore,Madhya Pradesh,IND,ISHRAE,427540,22.72,75.8,5.5,567,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Indore.427540_ISHRAE.zip
LA_BAJADA,-,CUB,SWERA,783110,21.92,-84.47,-5,4,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/CUB_La.Bajada.783110_SWERA.zip
Butler Co   Awos,PA,USA,TMY3,725124,40.78,-79.95,-5,380,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_PA_Butler.County.AWOS.725124_TMY3.zip
Wausau Municipal Arpt,WI,USA,TMY3,726463,44.92,-89.63,-6,366,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WI_Wausau.Muni.AP.726463_TMY3.zip
ALBUQUERQUE,NM,USA,TMY2-23050,723650,35.05,-106.62,-7,1619,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NM_Albuquerque.723650_TMY2.zip
Guyuan,Ningxia Hui,CHN,CSWD,538170,36,106.27,8,1753,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Ningxia.Hui.Guyuan.538170_CSWD.zip
Monte Cimone,-,ITA,IGDG,161340,44.2,10.7,1,2137,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Monte.Cimone.161340_IGDG.zip
Bangalore,Karnataka,IND,ISHRAE,432950,12.97,77.58,5.5,921,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Bangalore.432950_ISHRAE.zip
TIMISOARA,-,ROM,IWEC Data,152470,45.77,21.25,2,88,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ROU_Timisoara.152470_IWEC.zip
BREST,-,FRA,IWEC Data,71100,48.45,-4.42,1,103,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/FRA_Brest.071100_IWEC.zip
Alamosa San Luis Valley Rgnl,CO,USA,TMY3,724620,37.43,-105.87,-7,2296,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CO_Alamosa.Muni.AP.724620_TMY3.zip
Sydney,NS,CAN,WYEC2-B-14646,717070,46.17,-60.05,-4,62,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_NS_Sydney.717070_CWEC.zip
Zhongxiang,Hubei,CHN,CSWD,573780,31.17,112.57,8,65.8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Hubei.Zhongxiang.573780_CSWD.zip
CHARLESTON,SC,USA,TMY2-13880,722080,32.9,-80.03,-5,12,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_SC_Charleston.722080_TMY2.zip
